item_id,source_item_uid,domain,concept,task,group_index,is_repeated_check,rater_id,included_primary,fa,cc,lc,tf,mq,risk,quality5,quality3_science
ITEM_081,千问_C_C21,Geoscience,岩石循环,C,31,False,R01_01,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_261,豆包_C_C21,Geoscience,岩石循环,C,32,False,R01_01,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_082,千问_C_C22,Geoscience,地震成因,C,33,False,R01_01,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_442,Gemini_C_C22,Geoscience,地震成因,C,34,False,R01_01,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_443,Gemini_C_C23,Geoscience,火山与板块边界,C,35,False,R01_01,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_803,GLM_C_C23,Geoscience,火山与板块边界,C,36,False,R01_01,True,5,5,4,5,5,1,4.8,5.0
ITEM_534,mimo_C_C24,Geoscience,地球内部结构,C,37,False,R01_01,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_714,GPT_C_C24,Geoscience,地球内部结构,C,38,False,R01_01,True,5,5,4,5,5,1,4.8,5.0
ITEM_469,mimo_A_C19,Geoscience,板块构造,A,1,False,R01_02,True,5,4,3,3,2,1,3.4,3.6666666666666665
ITEM_739,GLM_A_C19,Geoscience,板块构造,A,2,False,R01_02,True,4,4,3,3,4,2,3.6,4.0
ITEM_110,claude_A_C20,Geoscience,地质时间,A,3,False,R01_02,True,5,4,4,4,3,2,4.0,4.0
ITEM_740,GLM_A_C20,Geoscience,地质时间,A,4,False,R01_02,True,4,3,2,3,3,3,3.0,3.333333333333333
ITEM_201,豆包_A_C21,Geoscience,岩石循环,A,5,False,R01_02,True,3,3,3,3,3,1,3.0,3.0
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,6,False,R01_02,True,4,3,4,3,3,1,3.4,3.333333333333333
ITEM_022,千问_A_C22,Geoscience,地震成因,A,7,False,R01_02,True,4,3,4,4,4,2,3.8,3.6666666666666665
ITEM_202,豆包_A_C22,Geoscience,地震成因,A,8,False,R01_02,True,5,5,5,5,5,1,5.0,5.0
ITEM_293,DEEPSEEK_A_C23,Geoscience,火山与板块边界,A,9,False,R01_02,True,5,4,3,4,4,1,4.0,4.333333333333333
ITEM_653,GPT_A_C23,Geoscience,火山与板块边界,A,10,False,R01_02,True,4,4,4,4,4,1,4.0,4.0
ITEM_114,claude_A_C24,Geoscience,地球内部结构,A,11,False,R01_02,True,4,5,3,4,3,2,3.8,4.0
ITEM_384,Gemini_A_C24,Geoscience,地球内部结构,A,12,False,R01_02,True,5,5,4,4,4,2,4.4,4.666666666666667
ITEM_229,豆包_B_C19,Geoscience,板块构造,B,14,False,R01_02,True,5,4,4,5,3,2,4.2,4.0
ITEM_409,Gemini_B_C19,Geoscience,板块构造,B,15,False,R01_02,True,4,3,3,3,2,2,3.0,3.0
ITEM_320,DEEPSEEK_B_C20,Geoscience,地质时间,B,16,False,R01_02,True,1,4,4,3,3,4,3.0,2.6666666666666665
ITEM_770,GLM_B_C20,Geoscience,地质时间,B,17,False,R01_02,True,5,5,5,5,5,2,5.0,5.0
ITEM_321,DEEPSEEK_B_C21,Geoscience,岩石循环,B,18,False,R01_02,True,5,4,4,5,4,1,4.4,4.333333333333333
ITEM_681,GPT_B_C21,Geoscience,岩石循环,B,19,False,R01_02,True,5,5,5,2,3,3,4.0,4.333333333333333
ITEM_232,豆包_B_C22,Geoscience,地震成因,B,20,False,R01_02,True,4,5,5,4,2,1,4.0,3.6666666666666665
ITEM_412,Gemini_B_C22,Geoscience,地震成因,B,21,False,R01_02,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_143,claude_B_C23,Geoscience,火山与板块边界,B,22,False,R01_02,True,5,4,5,5,4,1,4.6,4.333333333333333
ITEM_773,GLM_B_C23,Geoscience,火山与板块边界,B,23,False,R01_02,True,4,4,4,4,4,1,4.0,4.0
ITEM_144,claude_B_C24,Geoscience,地球内部结构,B,24,False,R01_02,True,4,4,4,4,4,1,4.0,4.0
ITEM_414,Gemini_B_C24,Geoscience,地球内部结构,B,25,False,R01_02,True,3,4,3,3,3,1,3.2,3.333333333333333
ITEM_529,mimo_C_C19,Geoscience,板块构造,C,27,False,R01_02,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_619,KIMI_C_C19,Geoscience,板块构造,C,28,False,R01_02,True,3,5,5,4,4,3,4.2,4.0
ITEM_260,豆包_C_C20,Geoscience,地质时间,C,29,False,R01_02,True,5,4,5,5,4,2,4.6,4.333333333333333
ITEM_620,KIMI_C_C20,Geoscience,地质时间,C,30,False,R01_02,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_081,千问_C_C21,Geoscience,岩石循环,C,31,False,R01_02,True,5,4,4,5,3,1,4.2,4.0
ITEM_261,豆包_C_C21,Geoscience,岩石循环,C,32,False,R01_02,True,4,4,5,4,3,1,4.0,3.6666666666666665
ITEM_082,千问_C_C22,Geoscience,地震成因,C,33,False,R01_02,True,4,5,4,5,2,1,4.0,3.6666666666666665
ITEM_442,Gemini_C_C22,Geoscience,地震成因,C,34,False,R01_02,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_443,Gemini_C_C23,Geoscience,火山与板块边界,C,35,False,R01_02,True,4,4,4,5,4,1,4.2,4.0
ITEM_803,GLM_C_C23,Geoscience,火山与板块边界,C,36,False,R01_02,True,5,5,5,5,4,1,4.8,4.666666666666667
ITEM_534,mimo_C_C24,Geoscience,地球内部结构,C,37,False,R01_02,True,5,5,4,5,4,1,4.6,4.666666666666667
ITEM_714,GPT_C_C24,Geoscience,地球内部结构,C,38,False,R01_02,True,4,5,4,4,4,1,4.2,4.333333333333333
ITEM_469,mimo_A_C19,Geoscience,板块构造,A,1,False,R01_03,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_739,GLM_A_C19,Geoscience,板块构造,A,2,False,R01_03,True,4,5,3,3,3,2,3.6,4.0
ITEM_110,claude_A_C20,Geoscience,地质时间,A,3,False,R01_03,True,4,3,4,4,4,2,3.8,3.6666666666666665
ITEM_740,GLM_A_C20,Geoscience,地质时间,A,4,False,R01_03,True,4,3,4,4,3,3,3.6,3.333333333333333
ITEM_201,豆包_A_C21,Geoscience,岩石循环,A,5,False,R01_03,True,4,3,3,3,4,2,3.4,3.6666666666666665
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,6,False,R01_03,True,4,3,4,3,3,1,3.4,3.333333333333333
ITEM_022,千问_A_C22,Geoscience,地震成因,A,7,False,R01_03,True,3,3,3,4,4,1,3.4,3.333333333333333
ITEM_202,豆包_A_C22,Geoscience,地震成因,A,8,False,R01_03,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_293,DEEPSEEK_A_C23,Geoscience,火山与板块边界,A,9,False,R01_03,True,5,4,3,4,3,1,3.8,4.0
ITEM_653,GPT_A_C23,Geoscience,火山与板块边界,A,10,False,R01_03,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_114,claude_A_C24,Geoscience,地球内部结构,A,11,False,R01_03,True,5,5,3,4,4,1,4.2,4.666666666666667
ITEM_384,Gemini_A_C24,Geoscience,地球内部结构,A,12,False,R01_03,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_229,豆包_B_C19,Geoscience,板块构造,B,14,False,R01_03,True,5,5,5,4,3,2,4.4,4.333333333333333
ITEM_409,Gemini_B_C19,Geoscience,板块构造,B,15,False,R01_03,True,4,3,3,4,3,2,3.4,3.333333333333333
ITEM_320,DEEPSEEK_B_C20,Geoscience,地质时间,B,16,False,R01_03,True,1,4,4,3,3,4,3.0,2.6666666666666665
ITEM_770,GLM_B_C20,Geoscience,地质时间,B,17,False,R01_03,True,5,5,5,5,5,2,5.0,5.0
ITEM_321,DEEPSEEK_B_C21,Geoscience,岩石循环,B,18,False,R01_03,True,5,5,5,4,3,1,4.4,4.333333333333333
ITEM_681,GPT_B_C21,Geoscience,岩石循环,B,19,False,R01_03,True,5,4,3,2,3,3,3.4,4.0
ITEM_232,豆包_B_C22,Geoscience,地震成因,B,20,False,R01_03,True,3,4,4,3,2,1,3.2,3.0
ITEM_412,Gemini_B_C22,Geoscience,地震成因,B,21,False,R01_03,True,5,5,5,5,4,1,4.8,4.666666666666667
ITEM_143,claude_B_C23,Geoscience,火山与板块边界,B,22,False,R01_03,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_773,GLM_B_C23,Geoscience,火山与板块边界,B,23,False,R01_03,True,4,5,5,4,5,1,4.6,4.666666666666667
ITEM_144,claude_B_C24,Geoscience,地球内部结构,B,24,False,R01_03,True,5,4,4,5,4,1,4.4,4.333333333333333
ITEM_414,Gemini_B_C24,Geoscience,地球内部结构,B,25,False,R01_03,True,3,4,3,4,3,2,3.4,3.333333333333333
ITEM_529,mimo_C_C19,Geoscience,板块构造,C,27,False,R01_03,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_619,KIMI_C_C19,Geoscience,板块构造,C,28,False,R01_03,True,3,3,4,3,3,2,3.2,3.0
ITEM_260,豆包_C_C20,Geoscience,地质时间,C,29,False,R01_03,True,5,4,4,4,5,2,4.4,4.666666666666667
ITEM_620,KIMI_C_C20,Geoscience,地质时间,C,30,False,R01_03,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_081,千问_C_C21,Geoscience,岩石循环,C,31,False,R01_03,True,4,5,4,4,5,1,4.4,4.666666666666667
ITEM_261,豆包_C_C21,Geoscience,岩石循环,C,32,False,R01_03,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_082,千问_C_C22,Geoscience,地震成因,C,33,False,R01_03,True,4,4,4,5,4,1,4.2,4.0
ITEM_442,Gemini_C_C22,Geoscience,地震成因,C,34,False,R01_03,True,5,5,5,4,5,1,4.8,5.0
ITEM_443,Gemini_C_C23,Geoscience,火山与板块边界,C,35,False,R01_03,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_803,GLM_C_C23,Geoscience,火山与板块边界,C,36,False,R01_03,True,4,4,4,4,4,2,4.0,4.0
ITEM_534,mimo_C_C24,Geoscience,地球内部结构,C,37,False,R01_03,True,5,4,5,5,4,1,4.6,4.333333333333333
ITEM_714,GPT_C_C24,Geoscience,地球内部结构,C,38,False,R01_03,True,5,5,4,4,5,1,4.6,5.0
ITEM_469,mimo_A_C19,Geoscience,板块构造,A,1,False,R01_04,True,5,4,4,4,3,1,4.0,4.0
ITEM_739,GLM_A_C19,Geoscience,板块构造,A,2,False,R01_04,True,4,4,3,3,3,2,3.4,3.6666666666666665
ITEM_110,claude_A_C20,Geoscience,地质时间,A,3,False,R01_04,True,4,4,4,4,4,2,4.0,4.0
ITEM_740,GLM_A_C20,Geoscience,地质时间,A,4,False,R01_04,True,4,3,3,3,3,3,3.2,3.333333333333333
ITEM_201,豆包_A_C21,Geoscience,岩石循环,A,5,False,R01_04,True,3,3,3,3,3,1,3.0,3.0
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,6,False,R01_04,True,4,3,4,4,4,1,3.8,3.6666666666666665
ITEM_022,千问_A_C22,Geoscience,地震成因,A,7,False,R01_04,True,3,4,3,4,4,2,3.6,3.6666666666666665
ITEM_202,豆包_A_C22,Geoscience,地震成因,A,8,False,R01_04,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_293,DEEPSEEK_A_C23,Geoscience,火山与板块边界,A,9,False,R01_04,True,4,3,4,4,4,1,3.8,3.6666666666666665
ITEM_653,GPT_A_C23,Geoscience,火山与板块边界,A,10,False,R01_04,True,4,4,4,4,4,1,4.0,4.0
ITEM_114,claude_A_C24,Geoscience,地球内部结构,A,11,False,R01_04,True,5,5,3,4,4,2,4.2,4.666666666666667
ITEM_384,Gemini_A_C24,Geoscience,地球内部结构,A,12,False,R01_04,True,4,4,5,4,4,1,4.2,4.0
ITEM_229,豆包_B_C19,Geoscience,板块构造,B,14,False,R01_04,True,4,4,4,4,3,2,3.8,3.6666666666666665
ITEM_409,Gemini_B_C19,Geoscience,板块构造,B,15,False,R01_04,True,4,3,3,4,3,2,3.4,3.333333333333333
ITEM_320,DEEPSEEK_B_C20,Geoscience,地质时间,B,16,False,R01_04,True,1,4,3,3,2,4,2.6,2.333333333333333
ITEM_770,GLM_B_C20,Geoscience,地质时间,B,17,False,R01_04,True,5,5,5,5,5,1,5.0,5.0
ITEM_321,DEEPSEEK_B_C21,Geoscience,岩石循环,B,18,False,R01_04,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_681,GPT_B_C21,Geoscience,岩石循环,B,19,False,R01_04,True,5,4,3,4,3,3,3.8,4.0
ITEM_232,豆包_B_C22,Geoscience,地震成因,B,20,False,R01_04,True,4,5,5,4,3,2,4.2,4.0
ITEM_412,Gemini_B_C22,Geoscience,地震成因,B,21,False,R01_04,True,5,5,5,5,4,1,4.8,4.666666666666667
ITEM_143,claude_B_C23,Geoscience,火山与板块边界,B,22,False,R01_04,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_773,GLM_B_C23,Geoscience,火山与板块边界,B,23,False,R01_04,True,4,4,4,5,4,1,4.2,4.0
ITEM_144,claude_B_C24,Geoscience,地球内部结构,B,24,False,R01_04,True,5,5,5,5,4,1,4.8,4.666666666666667
ITEM_414,Gemini_B_C24,Geoscience,地球内部结构,B,25,False,R01_04,True,4,3,4,4,3,2,3.6,3.333333333333333
ITEM_529,mimo_C_C19,Geoscience,板块构造,C,27,False,R01_04,True,4,5,5,5,4,1,4.6,4.333333333333333
ITEM_619,KIMI_C_C19,Geoscience,板块构造,C,28,False,R01_04,True,3,5,5,5,4,2,4.4,4.0
ITEM_260,豆包_C_C20,Geoscience,地质时间,C,29,False,R01_04,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_620,KIMI_C_C20,Geoscience,地质时间,C,30,False,R01_04,True,5,5,5,4,5,1,4.8,5.0
ITEM_081,千问_C_C21,Geoscience,岩石循环,C,31,False,R01_04,True,5,5,4,5,5,1,4.8,5.0
ITEM_261,豆包_C_C21,Geoscience,岩石循环,C,32,False,R01_04,True,5,5,5,4,5,1,4.8,5.0
ITEM_082,千问_C_C22,Geoscience,地震成因,C,33,False,R01_04,True,5,4,4,4,3,1,4.0,4.0
ITEM_442,Gemini_C_C22,Geoscience,地震成因,C,34,False,R01_04,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_443,Gemini_C_C23,Geoscience,火山与板块边界,C,35,False,R01_04,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_803,GLM_C_C23,Geoscience,火山与板块边界,C,36,False,R01_04,True,5,4,5,5,4,1,4.6,4.333333333333333
ITEM_534,mimo_C_C24,Geoscience,地球内部结构,C,37,False,R01_04,True,4,5,5,4,5,1,4.6,4.666666666666667
ITEM_714,GPT_C_C24,Geoscience,地球内部结构,C,38,False,R01_04,True,5,4,4,4,5,2,4.4,4.666666666666667
ITEM_469,mimo_A_C19,Geoscience,板块构造,A,1,False,R01_05,True,5,4,4,4,3,2,4.0,4.0
ITEM_739,GLM_A_C19,Geoscience,板块构造,A,2,False,R01_05,True,4,5,5,4,3,2,4.2,4.0
ITEM_110,claude_A_C20,Geoscience,地质时间,A,3,False,R01_05,True,4,4,4,4,3,2,3.8,3.6666666666666665
ITEM_740,GLM_A_C20,Geoscience,地质时间,A,4,False,R01_05,True,4,3,4,4,3,3,3.6,3.333333333333333
ITEM_201,豆包_A_C21,Geoscience,岩石循环,A,5,False,R01_05,True,4,3,3,3,4,1,3.4,3.6666666666666665
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,6,False,R01_05,True,4,3,3,3,3,2,3.2,3.333333333333333
ITEM_022,千问_A_C22,Geoscience,地震成因,A,7,False,R01_05,True,5,3,3,4,4,2,3.8,4.0
ITEM_202,豆包_A_C22,Geoscience,地震成因,A,8,False,R01_05,True,5,4,4,5,2,3,4.0,3.6666666666666665
ITEM_293,DEEPSEEK_A_C23,Geoscience,火山与板块边界,A,9,False,R01_05,True,4,3,2,4,4,1,3.4,3.6666666666666665
ITEM_653,GPT_A_C23,Geoscience,火山与板块边界,A,10,False,R01_05,True,5,5,4,4,4,2,4.4,4.666666666666667
ITEM_114,claude_A_C24,Geoscience,地球内部结构,A,11,False,R01_05,True,4,4,3,4,4,2,3.8,4.0
ITEM_384,Gemini_A_C24,Geoscience,地球内部结构,A,12,False,R01_05,True,5,5,4,4,3,2,4.2,4.333333333333333
ITEM_229,豆包_B_C19,Geoscience,板块构造,B,14,False,R01_05,True,5,4,4,3,3,2,3.8,4.0
ITEM_409,Gemini_B_C19,Geoscience,板块构造,B,15,False,R01_05,True,4,3,3,3,2,2,3.0,3.0
ITEM_320,DEEPSEEK_B_C20,Geoscience,地质时间,B,16,False,R01_05,True,1,3,3,3,3,4,2.6,2.333333333333333
ITEM_770,GLM_B_C20,Geoscience,地质时间,B,17,False,R01_05,True,5,5,5,5,5,1,5.0,5.0
ITEM_321,DEEPSEEK_B_C21,Geoscience,岩石循环,B,18,False,R01_05,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_681,GPT_B_C21,Geoscience,岩石循环,B,19,False,R01_05,True,5,4,3,3,3,3,3.6,4.0
ITEM_232,豆包_B_C22,Geoscience,地震成因,B,20,False,R01_05,True,4,4,4,3,3,2,3.6,3.6666666666666665
ITEM_412,Gemini_B_C22,Geoscience,地震成因,B,21,False,R01_05,True,5,5,5,5,4,1,4.8,4.666666666666667
ITEM_143,claude_B_C23,Geoscience,火山与板块边界,B,22,False,R01_05,True,5,5,5,5,5,1,5.0,5.0
ITEM_773,GLM_B_C23,Geoscience,火山与板块边界,B,23,False,R01_05,True,4,4,4,4,4,1,4.0,4.0
ITEM_144,claude_B_C24,Geoscience,地球内部结构,B,24,False,R01_05,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_414,Gemini_B_C24,Geoscience,地球内部结构,B,25,False,R01_05,True,3,4,4,4,3,2,3.6,3.333333333333333
ITEM_529,mimo_C_C19,Geoscience,板块构造,C,27,False,R01_05,True,5,5,5,5,4,1,4.8,4.666666666666667
ITEM_619,KIMI_C_C19,Geoscience,板块构造,C,28,False,R01_05,True,3,5,5,4,3,2,4.0,3.6666666666666665
ITEM_260,豆包_C_C20,Geoscience,地质时间,C,29,False,R01_05,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_620,KIMI_C_C20,Geoscience,地质时间,C,30,False,R01_05,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_081,千问_C_C21,Geoscience,岩石循环,C,31,False,R01_05,True,5,5,5,4,5,1,4.8,5.0
ITEM_261,豆包_C_C21,Geoscience,岩石循环,C,32,False,R01_05,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_082,千问_C_C22,Geoscience,地震成因,C,33,False,R01_05,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_442,Gemini_C_C22,Geoscience,地震成因,C,34,False,R01_05,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_443,Gemini_C_C23,Geoscience,火山与板块边界,C,35,False,R01_05,True,5,4,5,5,5,2,4.8,4.666666666666667
ITEM_803,GLM_C_C23,Geoscience,火山与板块边界,C,36,False,R01_05,True,5,5,5,5,4,1,4.8,4.666666666666667
ITEM_534,mimo_C_C24,Geoscience,地球内部结构,C,37,False,R01_05,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_714,GPT_C_C24,Geoscience,地球内部结构,C,38,False,R01_05,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_469,mimo_A_C19,Geoscience,板块构造,A,1,False,R01_06,True,5,4,4,4,2,1,3.8,3.6666666666666665
ITEM_739,GLM_A_C19,Geoscience,板块构造,A,2,False,R01_06,True,4,5,5,4,3,2,4.2,4.0
ITEM_110,claude_A_C20,Geoscience,地质时间,A,3,False,R01_06,True,4,4,4,4,3,1,3.8,3.6666666666666665
ITEM_740,GLM_A_C20,Geoscience,地质时间,A,4,False,R01_06,True,4,3,4,4,3,3,3.6,3.333333333333333
ITEM_201,豆包_A_C21,Geoscience,岩石循环,A,5,False,R01_06,True,4,3,3,4,4,1,3.6,3.6666666666666665
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,6,False,R01_06,True,4,4,3,3,3,2,3.4,3.6666666666666665
ITEM_022,千问_A_C22,Geoscience,地震成因,A,7,False,R01_06,True,4,3,3,4,4,2,3.6,3.6666666666666665
ITEM_202,豆包_A_C22,Geoscience,地震成因,A,8,False,R01_06,True,4,4,4,5,4,1,4.2,4.0
ITEM_293,DEEPSEEK_A_C23,Geoscience,火山与板块边界,A,9,False,R01_06,True,5,4,3,4,4,1,4.0,4.333333333333333
ITEM_653,GPT_A_C23,Geoscience,火山与板块边界,A,10,False,R01_06,True,5,4,4,4,4,1,4.2,4.333333333333333
ITEM_114,claude_A_C24,Geoscience,地球内部结构,A,11,False,R01_06,True,5,5,3,4,4,2,4.2,4.666666666666667
ITEM_384,Gemini_A_C24,Geoscience,地球内部结构,A,12,False,R01_06,True,4,5,5,4,4,2,4.4,4.333333333333333
ITEM_229,豆包_B_C19,Geoscience,板块构造,B,14,False,R01_06,True,5,4,4,4,3,2,4.0,4.0
ITEM_409,Gemini_B_C19,Geoscience,板块构造,B,15,False,R01_06,True,4,3,3,3,4,2,3.4,3.6666666666666665
ITEM_320,DEEPSEEK_B_C20,Geoscience,地质时间,B,16,False,R01_06,True,1,3,3,3,2,4,2.4,2.0
ITEM_770,GLM_B_C20,Geoscience,地质时间,B,17,False,R01_06,True,5,5,5,5,5,2,5.0,5.0
ITEM_321,DEEPSEEK_B_C21,Geoscience,岩石循环,B,18,False,R01_06,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_681,GPT_B_C21,Geoscience,岩石循环,B,19,False,R01_06,True,5,4,3,4,3,3,3.8,4.0
ITEM_232,豆包_B_C22,Geoscience,地震成因,B,20,False,R01_06,True,4,5,5,3,2,1,3.8,3.6666666666666665
ITEM_412,Gemini_B_C22,Geoscience,地震成因,B,21,False,R01_06,True,5,5,4,4,4,1,4.4,4.666666666666667
ITEM_143,claude_B_C23,Geoscience,火山与板块边界,B,22,False,R01_06,True,5,5,5,5,4,2,4.8,4.666666666666667
ITEM_773,GLM_B_C23,Geoscience,火山与板块边界,B,23,False,R01_06,True,5,4,4,5,4,1,4.4,4.333333333333333
ITEM_144,claude_B_C24,Geoscience,地球内部结构,B,24,False,R01_06,True,5,4,4,5,4,1,4.4,4.333333333333333
ITEM_414,Gemini_B_C24,Geoscience,地球内部结构,B,25,False,R01_06,True,3,4,3,3,3,1,3.2,3.333333333333333
ITEM_529,mimo_C_C19,Geoscience,板块构造,C,27,False,R01_06,True,5,5,4,4,4,1,4.4,4.666666666666667
ITEM_619,KIMI_C_C19,Geoscience,板块构造,C,28,False,R01_06,True,3,4,4,3,4,2,3.6,3.6666666666666665
ITEM_260,豆包_C_C20,Geoscience,地质时间,C,29,False,R01_06,True,5,4,4,5,4,1,4.4,4.333333333333333
ITEM_620,KIMI_C_C20,Geoscience,地质时间,C,30,False,R01_06,True,4,5,5,4,5,1,4.6,4.666666666666667
ITEM_081,千问_C_C21,Geoscience,岩石循环,C,31,False,R01_06,True,4,5,5,5,4,1,4.6,4.333333333333333
ITEM_261,豆包_C_C21,Geoscience,岩石循环,C,32,False,R01_06,True,5,4,4,5,5,1,4.6,4.666666666666667
ITEM_082,千问_C_C22,Geoscience,地震成因,C,33,False,R01_06,True,4,5,4,4,4,2,4.2,4.333333333333333
ITEM_442,Gemini_C_C22,Geoscience,地震成因,C,34,False,R01_06,True,4,5,4,4,5,2,4.4,4.666666666666667
ITEM_443,Gemini_C_C23,Geoscience,火山与板块边界,C,35,False,R01_06,True,5,4,4,5,5,1,4.6,4.666666666666667
ITEM_803,GLM_C_C23,Geoscience,火山与板块边界,C,36,False,R01_06,True,5,5,5,4,4,1,4.6,4.666666666666667
ITEM_534,mimo_C_C24,Geoscience,地球内部结构,C,37,False,R01_06,True,5,5,4,4,4,1,4.4,4.666666666666667
