item_id,n_prof_ratings,fa_prof,cc_prof,lc_prof,tf_prof,mq_prof,risk_prof,quality5_prof,quality3_prof,quality5_sd,risk_sd
ITEM_477,10,4.7,4.1,4.7,4.7,4.2,1.3,4.4799999999999995,4.333333333333333,0.26997942308422096,0.48304589153964794
ITEM_511,10,4.5,4.4,4.6,3.9,3.6,1.2,4.2,4.166666666666666,0.5656854249492381,0.6324555320336759
ITEM_516,10,4.5,4.6,4.1,2.7,3.2,2.2,3.8200000000000003,4.1,0.5028805910838963,0.7888106377466155
ITEM_517,10,4.2,4.0,4.0,3.6,3.7,1.8,3.9,3.9666666666666663,0.6271629240742261,0.4216370213557839
ITEM_522,10,4.1,3.9,4.1,4.2,3.3,1.8,3.9200000000000004,3.7666666666666666,0.5977736472389303,0.4216370213557839
ITEM_523,10,3.7,4.0,3.7,4.0,2.7,2.5,3.62,3.4666666666666663,0.5846176338238335,1.0801234497346432
ITEM_528,10,3.9,3.8,4.2,3.4,3.2,1.7,3.7,3.6333333333333337,0.4346134936801766,0.4830458915396479
ITEM_529,10,4.7,4.5,4.2,4.4,4.0,1.3,4.36,4.4,0.587272414547873,0.9486832980505139
ITEM_534,10,4.8,4.7,4.6,4.6,4.4,1.2,4.62,4.633333333333334,0.19888578520235042,0.4216370213557839
ITEM_535,10,4.6,4.1,4.5,4.5,4.4,1.3,4.42,4.366666666666667,0.3190262963734772,0.48304589153964794
ITEM_540,10,4.3,4.5,4.2,4.2,4.4,1.4,4.32,4.4,0.30110906108363233,0.5163977794943222
ITEM_601,10,4.7,4.6,4.5,4.6,4.6,1.2,4.6,4.633333333333334,0.7180219742846006,0.6324555320336759
ITEM_602,10,4.9,4.7,4.6,4.7,4.6,1.3,4.7,4.733333333333333,0.3162277660168379,0.9486832980505139
ITEM_607,10,4.1,4.2,4.1,3.7,3.4,1.8,3.9,3.9,0.6616477747093068,0.4216370213557839
ITEM_608,10,4.2,3.8,3.9,3.7,3.2,1.8,3.7600000000000002,3.7333333333333334,0.4880801391392835,0.4216370213557839
ITEM_613,10,4.1,4.0,3.9,3.8,3.4,1.5,3.84,3.8333333333333335,0.47888759989514595,0.5270462766947299
ITEM_614,10,4.1,3.9,3.9,4.1,3.5,1.7,3.9,3.8333333333333335,0.5676462121975467,0.6749485577105528
ITEM_619,10,3.3,4.2,4.3,3.7,3.4,2.2,3.7800000000000002,3.6333333333333337,0.866410218468519,0.7888106377466155
ITEM_620,10,4.8,4.7,4.8,4.5,4.6,1.1,4.68,4.7,0.34253953543107013,0.31622776601683794
ITEM_625,10,4.7,4.1,4.6,4.3,4.4,1.2,4.42,4.4,0.30477678535099884,0.4216370213557839
ITEM_626,10,4.6,4.2,4.5,4.6,3.9,1.6,4.36,4.2333333333333325,0.32386554137309687,0.5163977794943222
ITEM_635,10,4.7,2.1,3.2,2.1,2.0,1.4,2.82,2.933333333333333,0.8403702887550357,0.9660917830792959
ITEM_641,10,4.1,4.1,3.9,4.2,3.8,1.8,4.0200000000000005,4.0,0.47562823951298583,0.4216370213557839
ITEM_647,10,4.0,3.7,3.6,3.8,2.6,2.5,3.54,3.4333333333333336,0.5581716183715861,0.8498365855987975
ITEM_653,10,4.8,4.3,4.1,3.9,4.1,1.5,4.24,4.4,0.40879225911349043,0.97182531580755
ITEM_659,10,4.6,4.1,4.4,4.4,4.4,1.5,4.38,4.366666666666666,0.3047767853509987,0.5270462766947299
ITEM_663,10,4.4,3.1,2.9,2.5,3.0,1.4,3.18,3.5,0.35839146815241646,0.8432740427115678
ITEM_669,10,4.1,4.0,4.0,3.4,3.2,1.8,3.7399999999999998,3.7666666666666666,0.5815687596683834,0.4216370213557839
ITEM_675,10,3.8,3.9,3.7,4.0,3.1,1.9,3.7,3.6,0.7071067811865475,0.8755950357709131
ITEM_681,10,4.8,4.2,3.1,3.1,3.1,2.7,3.66,4.033333333333333,0.6257440016137236,0.9486832980505138
ITEM_687,10,4.5,4.0,4.4,4.4,4.0,1.5,4.26,4.166666666666666,0.3272783388968951,0.5270462766947299
ITEM_696,10,5.0,4.5,4.6,4.9,4.6,1.3,4.72,4.7,0.35527766918597947,0.9486832980505139
ITEM_702,10,4.1,4.1,4.4,3.9,3.5,1.9,4.0,3.9,0.5962847939999438,0.31622776601683794
ITEM_708,10,4.2,4.1,4.0,3.7,3.4,1.6,3.88,3.9,0.5750362307426083,0.5163977794943222
ITEM_714,10,4.8,4.6,4.3,4.3,4.5,1.4,4.5,4.633333333333334,0.5981452814975454,0.9660917830792959
ITEM_720,10,4.5,4.3,4.6,4.4,4.4,1.4,4.4399999999999995,4.4,0.3747591819348054,0.5163977794943222
ITEM_721,10,4.7,4.4,4.2,4.3,3.8,2.0,4.279999999999999,4.3,0.5513619500836089,0.4714045207910317
ITEM_722,10,4.8,2.3,4.4,4.4,3.9,1.2,3.96,3.6666666666666665,0.3977715704047011,0.6324555320336759
ITEM_727,10,4.0,4.2,3.9,4.0,4.0,1.9,4.0200000000000005,4.066666666666666,0.2898275349237886,0.5676462121975469
ITEM_728,10,4.0,3.9,4.1,4.0,3.6,1.9,3.9200000000000004,3.833333333333333,0.16865480854231354,0.31622776601683794
ITEM_733,10,3.7,4.1,3.8,3.9,3.6,1.7,3.8200000000000003,3.8,0.5533734925185901,0.9486832980505138
ITEM_734,10,3.4,3.4,3.4,3.8,3.1,2.0,3.4200000000000004,3.3,0.5769652406245016,0.816496580927726
ITEM_739,10,3.8,4.4,3.9,3.5,3.1,2.0,3.7399999999999998,3.7666666666666666,0.5253570214625479,0.0
ITEM_740,10,3.9,3.2,3.5,3.7,3.2,2.7,3.5,3.4333333333333336,0.5981452814975453,0.6749485577105528
ITEM_745,10,4.8,4.3,4.4,4.8,4.4,1.5,4.54,4.5,0.18973665961010266,0.5270462766947299
ITEM_746,10,4.7,4.2,4.3,4.6,4.2,1.5,4.4,4.366666666666666,0.39999999999999986,0.5270462766947299
ITEM_752,10,4.6,3.6,3.7,1.8,1.8,1.2,3.1,3.3333333333333335,0.700793201387621,0.6324555320336759
ITEM_755,10,4.8,3.7,3.7,3.4,3.2,1.6,3.7600000000000002,3.9,0.5146735750831676,1.07496769977314
ITEM_758,10,4.2,3.9,3.8,3.6,3.4,1.8,3.78,3.833333333333333,0.6425643072011462,0.4216370213557839
ITEM_761,10,4.3,3.8,3.8,3.9,3.5,1.8,3.8600000000000003,3.8666666666666663,0.6467010300148147,0.4216370213557839
ITEM_764,10,3.7,3.6,3.5,3.5,3.2,2.0,3.5,3.5,0.5676462121975465,0.816496580927726
ITEM_767,10,3.7,3.9,3.8,3.8,3.2,1.8,3.6799999999999997,3.6,0.5181162460726786,0.7888106377466155
ITEM_770,10,5.0,5.0,4.9,4.9,5.0,1.4,4.96,5.0,0.12649110640673528,0.5163977794943222
ITEM_773,10,4.6,4.3,4.5,4.5,4.4,1.0,4.46,4.433333333333334,0.35339622081862837,0.0
ITEM_776,10,4.5,4.1,4.2,4.1,4.0,1.6,4.18,4.2,0.3583914681524162,0.5163977794943222
ITEM_779,10,4.3,4.3,4.4,4.3,4.0,1.6,4.26,4.2,0.3134042472944842,0.5163977794943222
ITEM_785,10,4.7,4.8,4.8,4.9,4.8,1.4,4.8,4.7666666666666675,0.21081851067789203,1.2649110640673518
ITEM_791,10,4.1,4.0,4.1,3.9,3.4,1.9,3.9,3.8333333333333335,0.5981452814975453,0.31622776601683794
ITEM_797,10,4.1,3.7,3.8,3.8,3.4,1.7,3.7600000000000002,3.7333333333333334,0.5481281277625192,0.4830458915396479
ITEM_803,10,4.7,4.6,4.5,4.7,4.1,1.3,4.52,4.466666666666667,0.6051629716218782,0.6749485577105528
ITEM_809,10,4.3,4.4,4.4,4.4,4.3,1.6,4.36,4.333333333333334,0.36270588023294525,0.5163977794943223
