judge,item_id,generator,task,domain,concept_id,concept,fa,cc,lc,tf,mq,risk,overall,judge_file
Anthropic Claude,千问_A_C25,Alibaba Qwen,A,Climate/Environment,C25,温室效应,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C26,Alibaba Qwen,A,Climate/Environment,C26,天气与气候,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C27,Alibaba Qwen,A,Climate/Environment,C27,全球变暖与气候变化,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C28,Alibaba Qwen,A,Climate/Environment,C28,二氧化碳的气候作用,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C29,Alibaba Qwen,A,Climate/Environment,C29,海洋垃圾与塑料污染,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C30,Alibaba Qwen,A,Climate/Environment,C30,自然变率与人为影响,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C01,Alibaba Qwen,B,Physics,C01,惯性,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C02,Alibaba Qwen,B,Physics,C02,净力与加速度,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C03,Alibaba Qwen,B,Physics,C03,牛顿第三定律,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C04,Alibaba Qwen,B,Physics,C04,抛体运动,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C05,Alibaba Qwen,B,Physics,C05,圆周运动,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C06,Alibaba Qwen,B,Physics,C06,摩擦力与运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C07,Alibaba Qwen,B,Chemistry,C07,质量守恒,4.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C08,Alibaba Qwen,B,Chemistry,C08,物质微粒观,5.0,4.0,4.0,5.0,3.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C09,Alibaba Qwen,B,Chemistry,C09,相变,4.0,3.0,4.0,5.0,3.0,2.0,3.0,claude.txt
Anthropic Claude,千问_B_C10,Alibaba Qwen,B,Chemistry,C10,化学反应与物理变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C11,Alibaba Qwen,B,Chemistry,C11,化学键,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C12,Alibaba Qwen,B,Chemistry,C12,溶液浓度与稀释,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C13,Alibaba Qwen,B,Biology,C13,自然选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C14,Alibaba Qwen,B,Biology,C14,进化没有预设目标,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C15,Alibaba Qwen,B,Biology,C15,随机变异与非随机选择,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C16,Alibaba Qwen,B,Biology,C16,遗传信息与性状,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C17,Alibaba Qwen,B,Biology,C17,能量流动与物质循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C18,Alibaba Qwen,B,Biology,C18,光合作用与细胞呼吸,4.0,3.0,3.0,5.0,3.0,2.0,3.0,claude.txt
Anthropic Claude,千问_B_C19,Alibaba Qwen,B,Geoscience,C19,板块构造,5.0,4.0,4.0,5.0,3.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C20,Alibaba Qwen,B,Geoscience,C20,地质时间,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C21,Alibaba Qwen,B,Geoscience,C21,岩石循环,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C22,Alibaba Qwen,B,Geoscience,C22,地震成因,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C23,Alibaba Qwen,B,Geoscience,C23,火山与板块边界,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C24,Alibaba Qwen,B,Geoscience,C24,地球内部结构,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C25,Alibaba Qwen,B,Climate/Environment,C25,温室效应,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C26,Alibaba Qwen,B,Climate/Environment,C26,天气与气候,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C27,Alibaba Qwen,B,Climate/Environment,C27,全球变暖与气候变化,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C28,Alibaba Qwen,B,Climate/Environment,C28,二氧化碳的气候作用,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_B_C29,Alibaba Qwen,B,Climate/Environment,C29,海洋垃圾与塑料污染,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_B_C30,Alibaba Qwen,B,Climate/Environment,C30,自然变率与人为影响,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C01,Alibaba Qwen,C,Physics,C01,惯性,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C02,Alibaba Qwen,C,Physics,C02,净力与加速度,5.0,4.0,4.0,5.0,3.0,1.0,4.0,claude.txt
Anthropic Claude,千问_C_C03,Alibaba Qwen,C,Physics,C03,牛顿第三定律,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C04,Alibaba Qwen,C,Physics,C04,抛体运动,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_C_C05,Alibaba Qwen,C,Physics,C05,圆周运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C06,Alibaba Qwen,C,Physics,C06,摩擦力与运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C07,Alibaba Qwen,C,Chemistry,C07,质量守恒,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C08,Alibaba Qwen,C,Chemistry,C08,物质微粒观,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_C_C09,Alibaba Qwen,C,Chemistry,C09,相变,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_C_C10,Alibaba Qwen,C,Chemistry,C10,化学反应与物理变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C11,Alibaba Qwen,C,Chemistry,C11,化学键,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_C_C12,Alibaba Qwen,C,Chemistry,C12,溶液浓度与稀释,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C13,Alibaba Qwen,C,Biology,C13,自然选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C14,Alibaba Qwen,C,Biology,C14,进化没有预设目标,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C15,Alibaba Qwen,C,Biology,C15,随机变异与非随机选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C16,Alibaba Qwen,C,Biology,C16,遗传信息与性状,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_C_C17,Alibaba Qwen,C,Biology,C17,能量流动与物质循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C18,Alibaba Qwen,C,Biology,C18,光合作用与细胞呼吸,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C19,Alibaba Qwen,C,Geoscience,C19,板块构造,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C20,Alibaba Qwen,C,Geoscience,C20,地质时间,5.0,4.0,4.0,5.0,3.0,1.0,4.0,claude.txt
Anthropic Claude,千问_C_C21,Alibaba Qwen,C,Geoscience,C21,岩石循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C22,Alibaba Qwen,C,Geoscience,C22,地震成因,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C23,Alibaba Qwen,C,Geoscience,C23,火山与板块边界,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C24,Alibaba Qwen,C,Geoscience,C24,地球内部结构,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C25,Alibaba Qwen,C,Climate/Environment,C25,温室效应,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C26,Alibaba Qwen,C,Climate/Environment,C26,天气与气候,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C27,Alibaba Qwen,C,Climate/Environment,C27,全球变暖与气候变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C28,Alibaba Qwen,C,Climate/Environment,C28,二氧化碳的气候作用,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C29,Alibaba Qwen,C,Climate/Environment,C29,海洋垃圾与塑料污染,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_C_C30,Alibaba Qwen,C,Climate/Environment,C30,自然变率与人为影响,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C01,Anthropic Claude,A,Physics,C01,惯性,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C02,Anthropic Claude,A,Physics,C02,净力与加速度,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C03,Anthropic Claude,A,Physics,C03,牛顿第三定律,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C04,Anthropic Claude,A,Physics,C04,抛体运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C05,Anthropic Claude,A,Physics,C05,圆周运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C06,Anthropic Claude,A,Physics,C06,摩擦力与运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C07,Anthropic Claude,A,Chemistry,C07,质量守恒,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C08,Anthropic Claude,A,Chemistry,C08,物质微粒观,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C09,Anthropic Claude,A,Chemistry,C09,相变,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C10,Anthropic Claude,A,Chemistry,C10,化学反应与物理变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C11,Anthropic Claude,A,Chemistry,C11,化学键,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C12,Anthropic Claude,A,Chemistry,C12,溶液浓度与稀释,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C13,Anthropic Claude,A,Biology,C13,自然选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C14,Anthropic Claude,A,Biology,C14,进化没有预设目标,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C15,Anthropic Claude,A,Biology,C15,随机变异与非随机选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C16,Anthropic Claude,A,Biology,C16,遗传信息与性状,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C17,Anthropic Claude,A,Biology,C17,能量流动与物质循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C18,Anthropic Claude,A,Biology,C18,光合作用与细胞呼吸,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C19,Anthropic Claude,A,Geoscience,C19,板块构造,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C20,Anthropic Claude,A,Geoscience,C20,地质时间,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C21,Anthropic Claude,A,Geoscience,C21,岩石循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C22,Anthropic Claude,A,Geoscience,C22,地震成因,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C23,Anthropic Claude,A,Geoscience,C23,火山与板块边界,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C24,Anthropic Claude,A,Geoscience,C24,地球内部结构,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C25,Anthropic Claude,A,Climate/Environment,C25,温室效应,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C26,Anthropic Claude,A,Climate/Environment,C26,天气与气候,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C27,Anthropic Claude,A,Climate/Environment,C27,全球变暖与气候变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C28,Anthropic Claude,A,Climate/Environment,C28,二氧化碳的气候作用,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C29,Anthropic Claude,A,Climate/Environment,C29,海洋垃圾与塑料污染,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_A_C30,Anthropic Claude,A,Climate/Environment,C30,自然变率与人为影响,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C01,Anthropic Claude,B,Physics,C01,惯性,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C02,Anthropic Claude,B,Physics,C02,净力与加速度,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C03,Anthropic Claude,B,Physics,C03,牛顿第三定律,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C04,Anthropic Claude,B,Physics,C04,抛体运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C05,Anthropic Claude,B,Physics,C05,圆周运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C06,Anthropic Claude,B,Physics,C06,摩擦力与运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C07,Anthropic Claude,B,Chemistry,C07,质量守恒,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C08,Anthropic Claude,B,Chemistry,C08,物质微粒观,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C09,Anthropic Claude,B,Chemistry,C09,相变,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C10,Anthropic Claude,B,Chemistry,C10,化学反应与物理变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C11,Anthropic Claude,B,Chemistry,C11,化学键,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C12,Anthropic Claude,B,Chemistry,C12,溶液浓度与稀释,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C13,Anthropic Claude,B,Biology,C13,自然选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C14,Anthropic Claude,B,Biology,C14,进化没有预设目标,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C15,Anthropic Claude,B,Biology,C15,随机变异与非随机选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C16,Anthropic Claude,B,Biology,C16,遗传信息与性状,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C17,Anthropic Claude,B,Biology,C17,能量流动与物质循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C18,Anthropic Claude,B,Biology,C18,光合作用与细胞呼吸,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C19,Anthropic Claude,B,Geoscience,C19,板块构造,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C20,Anthropic Claude,B,Geoscience,C20,地质时间,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C21,Anthropic Claude,B,Geoscience,C21,岩石循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C22,Anthropic Claude,B,Geoscience,C22,地震成因,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C23,Anthropic Claude,B,Geoscience,C23,火山与板块边界,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C24,Anthropic Claude,B,Geoscience,C24,地球内部结构,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C25,Anthropic Claude,B,Climate/Environment,C25,温室效应,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C26,Anthropic Claude,B,Climate/Environment,C26,天气与气候,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C27,Anthropic Claude,B,Climate/Environment,C27,全球变暖与气候变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C28,Anthropic Claude,B,Climate/Environment,C28,二氧化碳的气候作用,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C29,Anthropic Claude,B,Climate/Environment,C29,海洋垃圾与塑料污染,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_B_C30,Anthropic Claude,B,Climate/Environment,C30,自然变率与人为影响,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C01,Anthropic Claude,C,Physics,C01,惯性,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C02,Anthropic Claude,C,Physics,C02,净力与加速度,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C03,Anthropic Claude,C,Physics,C03,牛顿第三定律,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C04,Anthropic Claude,C,Physics,C04,抛体运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C05,Anthropic Claude,C,Physics,C05,圆周运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C06,Anthropic Claude,C,Physics,C06,摩擦力与运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C07,Anthropic Claude,C,Chemistry,C07,质量守恒,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C08,Anthropic Claude,C,Chemistry,C08,物质微粒观,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C09,Anthropic Claude,C,Chemistry,C09,相变,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C10,Anthropic Claude,C,Chemistry,C10,化学反应与物理变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C11,Anthropic Claude,C,Chemistry,C11,化学键,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C12,Anthropic Claude,C,Chemistry,C12,溶液浓度与稀释,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C13,Anthropic Claude,C,Biology,C13,自然选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C14,Anthropic Claude,C,Biology,C14,进化没有预设目标,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C15,Anthropic Claude,C,Biology,C15,随机变异与非随机选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C16,Anthropic Claude,C,Biology,C16,遗传信息与性状,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C17,Anthropic Claude,C,Biology,C17,能量流动与物质循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C18,Anthropic Claude,C,Biology,C18,光合作用与细胞呼吸,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C19,Anthropic Claude,C,Geoscience,C19,板块构造,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C20,Anthropic Claude,C,Geoscience,C20,地质时间,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C21,Anthropic Claude,C,Geoscience,C21,岩石循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C22,Anthropic Claude,C,Geoscience,C22,地震成因,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C23,Anthropic Claude,C,Geoscience,C23,火山与板块边界,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C24,Anthropic Claude,C,Geoscience,C24,地球内部结构,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C25,Anthropic Claude,C,Climate/Environment,C25,温室效应,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,claude_C_C26,Anthropic Claude,C,Climate/Environment,C26,天气与气候,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
