item_id,source_item_uid,domain,concept,task,group_index,is_repeated_check,rater_id,included_primary,fa,cc,lc,tf,mq,risk,quality5,quality3_science,main_quality5,main_risk,quality_abs_diff,risk_abs_diff
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,N20260530_02_03,False,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,3.0
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,26,True,N20260530_02_04,False,4.0,2.0,3.0,2.0,2.0,2.0,2.6,2.6666666666666665,3.2,2.0,0.6000000000000001,0.0
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,N20260530_02_04,False,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,2.0
ITEM_465,mimo_A_C15,Biology,随机变异与非随机选择,A,26,True,N20260530_03_01,True,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.2,4.0,0.7999999999999998,3.0
ITEM_076,千问_C_C16,Biology,遗传信息与性状,C,40,True,N20260530_03_01,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,1.0,0.7999999999999998,3.0
ITEM_465,mimo_A_C15,Biology,随机变异与非随机选择,A,26,True,N20260530_03_02,True,5.0,5.0,5.0,5.0,4.0,2.0,4.8,4.666666666666667,2.6,4.0,2.1999999999999997,2.0
ITEM_076,千问_C_C16,Biology,遗传信息与性状,C,40,True,N20260530_03_02,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,2.0,0.5999999999999996,2.0
ITEM_465,mimo_A_C15,Biology,随机变异与非随机选择,A,26,True,N20260530_03_03,True,2.0,2.0,3.0,4.0,4.0,2.0,3.0,2.6666666666666665,4.0,2.0,1.0,0.0
ITEM_076,千问_C_C16,Biology,遗传信息与性状,C,40,True,N20260530_03_03,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,3.0
ITEM_465,mimo_A_C15,Biology,随机变异与非随机选择,A,26,True,N20260530_03_04,True,3.0,2.0,2.0,2.0,3.0,3.0,2.4,2.6666666666666665,3.0,3.0,0.6000000000000001,0.0
ITEM_076,千问_C_C16,Biology,遗传信息与性状,C,40,True,N20260530_03_04,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.4,1.0,0.40000000000000036,3.0
ITEM_465,mimo_A_C15,Biology,随机变异与非随机选择,A,26,True,N20260530_03_05,True,5.0,5.0,5.0,5.0,1.0,1.0,4.2,3.6666666666666665,4.2,1.0,0.0,0.0
ITEM_076,千问_C_C16,Biology,遗传信息与性状,C,40,True,N20260530_03_05,True,5.0,5.0,5.0,5.0,1.0,1.0,4.2,3.6666666666666665,4.2,1.0,0.0,0.0
ITEM_477,mimo_A_C27,Climate/Environment,全球变暖与气候变化,A,26,True,N20260530_04_01,True,4.0,3.0,5.0,5.0,4.0,1.0,4.2,3.6666666666666665,4.2,1.0,0.0,0.0
ITEM_088,千问_C_C28,Climate/Environment,二氧化碳的气候作用,C,40,True,N20260530_04_01,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,3.0
ITEM_477,mimo_A_C27,Climate/Environment,全球变暖与气候变化,A,26,True,N20260530_04_02,True,4.0,3.0,3.0,4.0,4.0,1.0,3.6,3.6666666666666665,3.8,2.0,0.19999999999999973,1.0
ITEM_088,千问_C_C28,Climate/Environment,二氧化碳的气候作用,C,40,True,N20260530_04_02,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.8,1.0,0.20000000000000018,3.0
ITEM_477,mimo_A_C27,Climate/Environment,全球变暖与气候变化,A,26,True,N20260530_04_03,False,4.0,5.0,5.0,4.0,5.0,3.0,4.6,4.666666666666667,3.8,5.0,0.7999999999999998,2.0
ITEM_088,千问_C_C28,Climate/Environment,二氧化碳的气候作用,C,40,True,N20260530_04_03,False,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.8,3.0,0.20000000000000018,1.0
ITEM_477,mimo_A_C27,Climate/Environment,全球变暖与气候变化,A,26,True,N20260530_04_04,True,5.0,3.0,4.0,3.0,4.0,1.0,3.8,4.0,4.0,1.0,0.20000000000000018,0.0
ITEM_088,千问_C_C28,Climate/Environment,二氧化碳的气候作用,C,40,True,N20260530_04_04,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,1.0,0.7999999999999998,3.0
ITEM_477,mimo_A_C27,Climate/Environment,全球变暖与气候变化,A,26,True,N20260530_04_05,True,5.0,4.0,5.0,5.0,5.0,1.0,4.8,4.666666666666667,4.6,1.0,0.20000000000000018,0.0
ITEM_088,千问_C_C28,Climate/Environment,二氧化碳的气候作用,C,40,True,N20260530_04_05,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,3.0
ITEM_453,mimo_A_C03,Physics,牛顿第三定律,A,26,True,N20260530_05_01,True,5.0,2.0,3.0,3.0,3.0,2.0,3.2,3.3333333333333335,3.6,2.0,0.3999999999999999,0.0
ITEM_064,千问_C_C04,Physics,抛体运动,C,40,True,N20260530_05_01,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0
ITEM_453,mimo_A_C03,Physics,牛顿第三定律,A,26,True,N20260530_05_02,True,3.0,3.0,3.0,4.0,4.0,1.0,3.4,3.3333333333333335,4.6,1.0,1.1999999999999997,0.0
ITEM_064,千问_C_C04,Physics,抛体运动,C,40,True,N20260530_05_02,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.8,1.0,0.20000000000000018,3.0
ITEM_453,mimo_A_C03,Physics,牛顿第三定律,A,26,True,N20260530_05_03,True,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.6,1.0,0.40000000000000036,0.0
ITEM_064,千问_C_C04,Physics,抛体运动,C,40,True,N20260530_05_03,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,1.0,0.7999999999999998,3.0
ITEM_453,mimo_A_C03,Physics,牛顿第三定律,A,26,True,N20260530_05_04,True,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.6,3.0,0.3999999999999999,1.0
ITEM_064,千问_C_C04,Physics,抛体运动,C,40,True,N20260530_05_04,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,0.3999999999999999,0.0
