item_id,source_item_uid,domain,concept,task,n_human_raters,fa_human,cc_human,lc_human,tf_human,mq_human,human_risk,human_quality,human_quality3_science,human_quality_sd
ITEM_414,Gemini_B_C24,Geoscience,地球内部结构,B,4,4.75,4.75,5.0,4.75,4.75,1.75,4.8,4.75,0.39999999999999986
ITEM_415,Gemini_B_C25,Climate/Environment,温室效应,B,5,4.2,3.4,3.6,3.6,3.2,3.0,3.6,3.6,0.8366600265340755
ITEM_418,Gemini_B_C28,Climate/Environment,二氧化碳的气候作用,B,5,3.4,3.6,3.8,3.6,4.2,2.2,3.72,3.7333333333333334,0.6870225614927069
ITEM_420,Gemini_B_C30,Climate/Environment,自然变率与人为影响,B,5,4.6,3.8,4.4,4.4,4.0,2.0,4.24,4.133333333333334,0.47749345545253297
ITEM_424,Gemini_C_C04,Physics,抛体运动,C,4,2.25,3.25,3.25,3.0,3.0,4.0,2.95,2.833333333333333,1.3892443989449805
ITEM_425,Gemini_C_C05,Physics,圆周运动,C,4,4.25,4.25,4.75,4.75,4.75,2.5,4.55,4.416666666666667,0.44347115652166896
ITEM_430,Gemini_C_C10,Chemistry,化学反应与物理变化,C,4,4.75,4.75,4.75,4.5,3.75,1.0,4.5,4.416666666666666,0.6000000000000001
ITEM_431,Gemini_C_C11,Chemistry,化学键,C,4,5.0,4.5,4.5,4.75,3.75,1.0,4.5,4.416666666666666,0.34641016151377535
ITEM_436,Gemini_C_C16,Biology,遗传信息与性状,C,5,5.0,4.8,4.6,4.6,4.0,1.4,4.6,4.6,0.37416573867739406
ITEM_437,Gemini_C_C17,Biology,能量流动与物质循环,C,5,4.8,5.0,4.2,4.8,3.6,1.2,4.4799999999999995,4.466666666666667,0.33466401061363016
ITEM_442,Gemini_C_C22,Geoscience,地震成因,C,4,5.0,4.75,4.75,5.0,4.5,1.0,4.8,4.75,0.39999999999999986
ITEM_443,Gemini_C_C23,Geoscience,火山与板块边界,C,4,4.5,4.25,4.0,4.5,4.75,1.5,4.4,4.5,0.9521904571390465
ITEM_448,Gemini_C_C28,Climate/Environment,二氧化碳的气候作用,C,5,4.0,4.2,3.6,4.0,4.0,2.2,3.96,4.066666666666667,0.8988882021697693
ITEM_449,Gemini_C_C29,Climate/Environment,海洋垃圾与塑料污染,C,5,4.4,4.2,4.4,4.8,4.4,1.6,4.4399999999999995,4.333333333333333,0.433589667773576
ITEM_451,mimo_A_C01,Physics,惯性,A,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
ITEM_453,mimo_A_C03,Physics,牛顿第三定律,A,4,4.25,3.0,4.0,4.0,4.0,1.75,3.8499999999999996,3.75,0.957427107756338
ITEM_457,mimo_A_C07,Chemistry,质量守恒,A,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
ITEM_459,mimo_A_C09,Chemistry,相变,A,4,5.0,5.0,5.0,4.75,3.75,1.5,4.7,4.583333333333334,0.38297084310253493
ITEM_463,mimo_A_C13,Biology,自然选择,A,5,3.2,3.2,3.2,3.2,3.2,2.6,3.2,3.2,0.44721359549995787
ITEM_465,mimo_A_C15,Biology,随机变异与非随机选择,A,5,3.8,3.6,3.4,3.8,2.4,2.8,3.4,3.2666666666666666,0.6782329983125267
ITEM_469,mimo_A_C19,Geoscience,板块构造,A,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,4,4.5,3.75,4.0,4.0,4.5,1.75,4.15,4.25,0.9848857801796106
ITEM_475,mimo_A_C25,Climate/Environment,温室效应,A,5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
ITEM_477,mimo_A_C27,Climate/Environment,全球变暖与气候变化,A,5,4.4,4.2,3.2,4.4,4.2,2.0,4.08,4.266666666666667,0.33466401061363016
ITEM_511,mimo_C_C01,Physics,惯性,C,4,4.25,3.75,4.0,3.75,3.75,1.5,3.9,3.9166666666666665,0.7745966692414834
ITEM_516,mimo_C_C06,Physics,摩擦力与运动,C,4,5.0,4.25,4.25,4.75,4.25,2.25,4.5,4.5,0.621825270205921
ITEM_517,mimo_C_C07,Chemistry,质量守恒,C,4,4.5,4.25,4.25,4.5,4.0,1.25,4.3,4.25,0.7393691004272945
ITEM_522,mimo_C_C12,Chemistry,溶液浓度与稀释,C,4,4.75,4.5,4.5,4.5,4.0,1.0,4.45,4.416666666666666,0.7549834435270751
ITEM_523,mimo_C_C13,Biology,自然选择,C,5,4.2,4.2,4.2,4.2,3.4,1.8,4.040000000000001,3.9333333333333336,0.8876936408468858
ITEM_528,mimo_C_C18,Biology,光合作用与细胞呼吸,C,5,4.8,4.6,4.6,4.6,3.8,1.2,4.4799999999999995,4.4,0.4816637831516919
ITEM_529,mimo_C_C19,Geoscience,板块构造,C,4,4.75,4.25,4.5,4.25,4.5,1.0,4.45,4.5,0.6806859285554044
ITEM_534,mimo_C_C24,Geoscience,地球内部结构,C,4,4.75,4.5,4.25,4.75,4.25,1.5,4.5,4.5,1.0
ITEM_535,mimo_C_C25,Climate/Environment,温室效应,C,5,4.6,4.0,4.8,4.8,4.4,1.6,4.5200000000000005,4.333333333333333,0.22803508501982728
ITEM_540,mimo_C_C30,Climate/Environment,自然变率与人为影响,C,5,4.0,4.0,4.6,4.4,4.0,2.4,4.2,4.0,0.7071067811865474
ITEM_601,KIMI_C_C01,Physics,惯性,C,4,4.0,4.0,4.0,3.75,3.75,1.75,3.9,3.916666666666667,1.064581294844754
ITEM_602,KIMI_C_C02,Physics,净力与加速度,C,4,4.75,4.0,4.0,4.25,4.0,2.0,4.2,4.25,0.8485281374238569
ITEM_607,KIMI_C_C07,Chemistry,质量守恒,C,4,4.75,4.75,4.5,4.5,3.75,1.25,4.45,4.416666666666666,0.6403124237432849
ITEM_608,KIMI_C_C08,Chemistry,物质微粒观,C,4,5.0,4.75,4.5,4.5,3.75,1.25,4.5,4.5,0.34641016151377535
ITEM_613,KIMI_C_C13,Biology,自然选择,C,5,4.8,4.6,4.4,4.8,3.6,1.6,4.4399999999999995,4.333333333333334,0.2607680962081058
ITEM_614,KIMI_C_C14,Biology,进化没有预设目标,C,5,5.0,4.8,4.8,4.6,4.0,1.0,4.64,4.6,0.4979959839195492
ITEM_619,KIMI_C_C19,Geoscience,板块构造,C,4,4.75,4.25,4.25,4.5,4.0,1.75,4.35,4.333333333333333,0.9433981132056602
ITEM_620,KIMI_C_C20,Geoscience,地质时间,C,4,5.0,4.75,4.25,4.75,4.5,2.0,4.65,4.75,0.41231056256176557
ITEM_625,KIMI_C_C25,Climate/Environment,温室效应,C,5,4.4,3.6,4.0,4.4,4.2,1.4,4.12,4.066666666666667,0.5932958789676532
ITEM_626,KIMI_C_C26,Climate/Environment,天气与气候,C,5,4.0,4.0,4.2,3.8,3.6,2.2,3.9200000000000004,3.8666666666666663,0.7563068160475617
ITEM_635,GPT_A_C05,Physics,圆周运动,A,4,4.75,3.0,3.75,3.75,4.5,2.25,3.95,4.083333333333333,0.7549834435270749
ITEM_641,GPT_A_C11,Chemistry,化学键,A,4,4.75,4.25,4.25,4.25,3.0,2.0,4.1,4.0,0.6831300510639734
ITEM_647,GPT_A_C17,Biology,能量流动与物质循环,A,5,4.6,3.4,4.0,4.4,3.0,2.4,3.88,3.6666666666666665,0.867179335547152
ITEM_653,GPT_A_C23,Geoscience,火山与板块边界,A,4,5.0,4.5,4.25,4.5,4.25,1.25,4.5,4.583333333333333,0.47609522856952324
ITEM_659,GPT_A_C29,Climate/Environment,海洋垃圾与塑料污染,A,5,4.6,3.8,3.8,4.2,3.8,2.2,4.04,4.066666666666666,0.5899152481501048
ITEM_663,GPT_B_C03,Physics,牛顿第三定律,B,4,4.25,4.0,4.0,4.25,4.25,2.0,4.15,4.166666666666666,0.574456264653803
ITEM_669,GPT_B_C09,Chemistry,相变,B,4,5.0,4.5,4.75,4.5,3.75,1.0,4.5,4.416666666666666,0.38297084310253526
ITEM_675,GPT_B_C15,Biology,随机变异与非随机选择,B,5,4.6,4.2,4.0,4.2,3.4,1.8,4.08,4.066666666666666,0.8899438184514797
ITEM_681,GPT_B_C21,Geoscience,岩石循环,B,4,4.75,4.25,4.25,4.0,4.0,1.75,4.25,4.333333333333333,0.8698658900466594
ITEM_687,GPT_B_C27,Climate/Environment,全球变暖与气候变化,B,5,4.4,3.8,4.4,4.0,4.2,2.0,4.16,4.133333333333334,0.572712842531054
ITEM_696,GPT_C_C06,Physics,摩擦力与运动,C,4,4.5,4.5,4.0,3.75,3.5,2.25,4.05,4.166666666666667,0.8225975119502041
ITEM_702,GPT_C_C12,Chemistry,溶液浓度与稀释,C,4,5.0,4.5,4.75,4.75,3.5,1.0,4.5,4.333333333333333,0.34641016151377535
ITEM_708,GPT_C_C18,Biology,光合作用与细胞呼吸,C,5,4.6,4.4,4.8,4.6,3.8,1.2,4.4399999999999995,4.266666666666667,0.5176871642217915
ITEM_714,GPT_C_C24,Geoscience,地球内部结构,C,4,5.0,4.75,4.5,5.0,4.75,1.25,4.8,4.833333333333333,0.2828427124746192
ITEM_720,GPT_C_C30,Climate/Environment,自然变率与人为影响,C,5,4.2,4.2,4.4,4.0,4.0,2.0,4.16,4.133333333333333,0.7668115805072324
ITEM_721,GLM_A_C01,Physics,惯性,A,4,4.5,4.0,3.75,4.5,3.75,1.75,4.1,4.083333333333333,0.8406346808612326
ITEM_722,GLM_A_C02,Physics,净力与加速度,A,4,4.25,3.0,4.0,3.5,3.5,2.75,3.65,3.5833333333333335,1.1704699910719625
ITEM_727,GLM_A_C07,Chemistry,质量守恒,A,4,4.25,3.5,3.0,3.75,3.5,2.0,3.6,3.75,0.4898979485566356
ITEM_728,GLM_A_C08,Chemistry,物质微粒观,A,4,4.5,4.0,4.0,4.5,4.0,2.0,4.2,4.166666666666666,0.43204937989385733
ITEM_733,GLM_A_C13,Biology,自然选择,A,5,4.0,3.6,3.6,3.8,3.2,2.2,3.6400000000000006,3.6,0.5176871642217914
ITEM_734,GLM_A_C14,Biology,进化没有预设目标,A,5,4.6,4.0,4.0,4.0,3.0,2.0,3.9200000000000004,3.8666666666666663,0.7563068160475616
ITEM_739,GLM_A_C19,Geoscience,板块构造,A,4,5.0,3.5,4.25,4.25,2.75,1.5,3.9499999999999997,3.75,0.4434711565216685
ITEM_740,GLM_A_C20,Geoscience,地质时间,A,4,4.5,3.75,4.0,4.25,4.0,2.0,4.1,4.083333333333333,1.183215956619923
ITEM_745,GLM_A_C25,Climate/Environment,温室效应,A,5,4.4,3.8,4.6,4.6,4.6,1.8,4.4,4.2666666666666675,0.58309518948453
ITEM_746,GLM_A_C26,Climate/Environment,天气与气候,A,5,4.6,4.0,3.8,4.6,4.0,2.2,4.2,4.2,0.5830951894845299
ITEM_752,GLM_B_C02,Physics,净力与加速度,B,4,3.75,2.75,3.0,2.5,2.25,1.75,2.85,2.9166666666666665,0.3785938897200181
ITEM_755,GLM_B_C05,Physics,圆周运动,B,4,4.75,4.25,4.25,4.25,4.25,2.0,4.35,4.416666666666666,0.8544003745317533
ITEM_758,GLM_B_C08,Chemistry,物质微粒观,B,4,4.75,4.75,4.25,4.75,3.75,1.25,4.45,4.416666666666666,0.5507570547286101
ITEM_761,GLM_B_C11,Chemistry,化学键,B,4,3.75,4.0,4.25,3.75,3.0,2.0,3.75,3.5833333333333335,1.1590225767142472
ITEM_764,GLM_B_C14,Biology,进化没有预设目标,B,5,3.4,3.6,2.8,3.6,2.4,2.8,3.16,3.1333333333333337,0.7924645102463581
ITEM_767,GLM_B_C17,Biology,能量流动与物质循环,B,5,4.6,4.4,4.0,4.4,3.2,2.0,4.12,4.066666666666666,0.9121403400793103
ITEM_770,GLM_B_C20,Geoscience,地质时间,B,4,3.75,4.25,4.25,3.25,3.75,2.25,3.8499999999999996,3.916666666666667,1.1357816691600544
ITEM_773,GLM_B_C23,Geoscience,火山与板块边界,B,4,4.75,4.5,4.75,4.25,4.5,1.0,4.55,4.583333333333333,0.5744562646538027
ITEM_776,GLM_B_C26,Climate/Environment,天气与气候,B,5,4.6,3.2,4.2,4.2,4.0,2.2,4.04,3.9333333333333327,0.572712842531054
ITEM_779,GLM_B_C29,Climate/Environment,海洋垃圾与塑料污染,B,5,4.4,4.0,4.2,4.2,4.4,2.0,4.24,4.2666666666666675,0.779743547584717
ITEM_785,GLM_C_C05,Physics,圆周运动,C,4,4.75,4.25,4.25,4.25,4.5,3.0,4.4,4.5,0.6928203230275509
ITEM_791,GLM_C_C11,Chemistry,化学键,C,4,4.5,4.5,4.75,4.75,3.75,1.0,4.45,4.25,0.6806859285554044
ITEM_797,GLM_C_C17,Biology,能量流动与物质循环,C,5,5.0,4.4,4.6,4.2,3.6,1.4,4.36,4.333333333333334,0.3577708763999663
